
Overlap Results

Collection(s):	CP:REACTOME
# overlaps shown:	20
# genesets in collections:	1736
# genes in comparison (n):	210
# genes in universe (N):	42577

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	828	Cellular responses to stimuli	18	0.0217	1.89E-7	3.02E-4
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1475	Post-translational protein modification	24	0.0163	3.48E-7	3.02E-4
REACTOME_RUNX3_REGULATES_P14_ARF	10	RUNX3 regulates p14-ARF	3	0.3000	1.38E-5	5.84E-3
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	105	Positive epigenetic regulation of rRNA expression	6	0.0571	1.44E-5	5.84E-3
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	110	RNA Polymerase I Transcription	6	0.0545	1.87E-5	5.84E-3
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1387	RNA Polymerase II Transcription	20	0.0144	2.02E-5	5.84E-3
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	254	Epigenetic regulation of gene expression	8	0.0315	4.18E-5	1.01E-2
REACTOME_CELL_CYCLE	694	Cell Cycle	13	0.0187	4.65E-5	1.01E-2
REACTOME_SIGNALING_BY_SCF_KIT	43	Signaling by SCF-KIT	4	0.0930	6.1E-5	1.1E-2
REACTOME_REGULATION_OF_KIT_SIGNALING	16	Regulation of KIT signaling	3	0.1875	6.32E-5	1.1E-2
REACTOME_GENE_SILENCING_BY_RNA	139	Gene Silencing by RNA	6	0.0432	6.98E-5	1.1E-2
REACTOME_TRANSLATION	295	Translation	8	0.0271	1.18E-4	1.61E-2
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	11	0.0196	1.2E-4	1.61E-2
REACTOME_M_PHASE	417	M Phase	9	0.0216	2.49E-4	3.08E-2
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	27	Effects of PIP2 hydrolysis	3	0.1111	3.17E-4	3.67E-2
REACTOME_SUMOYLATION	189	SUMOylation	6	0.0317	3.7E-4	4.01E-2
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING	29	Negative regulation of FGFR3 signaling	3	0.1034	3.93E-4	4.01E-2
REACTOME_METABOLISM_OF_LIPIDS	757	Metabolism of lipids	12	0.0159	4.18E-4	4.03E-2
REACTOME_CELLULAR_SENESCENCE	197	Cellular Senescence	6	0.0305	4.61E-4	4.06E-2
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING	31	Negative regulation of FGFR4 signaling	3	0.0968	4.8E-4	4.06E-2


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_RUNX3_REGULATES_P14_ARF	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_CELL_CYCLE	REACTOME_SIGNALING_BY_SCF_KIT	REACTOME_REGULATION_OF_KIT_SIGNALING	REACTOME_GENE_SILENCING_BY_RNA	REACTOME_TRANSLATION	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE	REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	REACTOME_SUMOYLATION	REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING	REACTOME_METABOLISM_OF_LIPIDS	REACTOME_CELLULAR_SENESCENCE	REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING
3018	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION		REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_CELL_CYCLE			REACTOME_GENE_SILENCING_BY_RNA		REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE					REACTOME_CELLULAR_SENESCENCE	
672	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION				REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION		REACTOME_CELL_CYCLE								REACTOME_SUMOYLATION				
23165	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION						REACTOME_CELL_CYCLE			REACTOME_GENE_SILENCING_BY_RNA		REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE		REACTOME_SUMOYLATION				
100101267	POM121C	POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION						REACTOME_CELL_CYCLE			REACTOME_GENE_SILENCING_BY_RNA		REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE		REACTOME_SUMOYLATION				
8204	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION														REACTOME_SUMOYLATION				
3021	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI			REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_CELL_CYCLE			REACTOME_GENE_SILENCING_BY_RNA		REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE					REACTOME_CELLULAR_SENESCENCE	
10919	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI			REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION												REACTOME_CELLULAR_SENESCENCE	
2932	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI			REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_CELL_CYCLE					REACTOME_CELL_CYCLE_MITOTIC							
51434	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	REACTOME_CELLULAR_RESPONSES_TO_STIMULI					REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION		REACTOME_CELL_CYCLE					REACTOME_CELL_CYCLE_MITOTIC	REACTOME_M_PHASE					REACTOME_CELLULAR_SENESCENCE	
