
Overlap Results

Collection(s):	TFT:GTRD
# overlaps shown:	20
# genesets in collections:	505
# genes in comparison (n):	210
# genes in universe (N):	42577

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
ZSCAN5DP_TARGET_GENES	1538	Genes containing one or more binding sites for UniProt:P0CG00 (ZSCAN5DP) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	36	0.0234	8.19E-15	4.14E-12
BARX2_TARGET_GENES	1906	Genes containing one or more binding sites for UniProt:Q9UMQ3 (BARX2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	38	0.0199	1.97E-13	4.98E-11
BARHL1_TARGET_GENES	1302	Genes containing one or more binding sites for UniProt:Q9BZE3 (BARHL1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	31	0.0238	4.76E-13	8.02E-11
ASH1L_TARGET_GENES	1470	Genes containing one or more binding sites for UniProt:Q9NR48 (ASH1L) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	32	0.0218	2.06E-12	2.6E-10
ATF6_TARGET_GENES	1081	Genes containing one or more binding sites for UniProt:P18850 (ATF6) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	27	0.0250	5.92E-12	5.98E-10
AEBP2_TARGET_GENES	1226	Genes containing one or more binding sites for UniProt:Q6ZN18 (AEBP2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	28	0.0228	1.88E-11	1.51E-9
NFE2L1_TARGET_GENES	1910	Genes containing one or more binding sites for UniProt:Q14494 (NFE2L1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	35	0.0183	2.09E-11	1.51E-9
IRF5_TARGET_GENES	848	Genes containing one or more binding sites for UniProt:Q13568 (IRF5) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	23	0.0271	4.88E-11	3.08E-9
SETD1A_TARGET_GENES	1534	Genes containing one or more binding sites for UniProt:O15047 (SETD1A) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	30	0.0196	1.45E-10	8.14E-9
ZFP91_TARGET_GENES	1464	Genes containing one or more binding sites for UniProt:Q96JP5 (ZFP91) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	29	0.0198	2.26E-10	1.14E-8
ZSCAN2_TARGET_GENES	922	Genes containing one or more binding sites for UniProt:Q7Z7L9 (ZSCAN2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	23	0.0249	2.5E-10	1.15E-8
KLF7_TARGET_GENES	936	Genes containing one or more binding sites for UniProt:O75840 (KLF7) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	23	0.0246	3.34E-10	1.41E-8
ZNF549_TARGET_GENES	1308	Genes containing one or more binding sites for UniProt:Q6P9A3 (ZNF549) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	27	0.0206	4.12E-10	1.6E-8
CEBPZ_TARGET_GENES	1549	Genes containing one or more binding sites for UniProt:Q03701 (CEBPZ) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	29	0.0187	8.24E-10	2.97E-8
RYBP_TARGET_GENES	1878	Genes containing one or more binding sites for UniProt:Q8N488 (RYBP) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	32	0.0170	1.02E-9	3.43E-8
RAG1_TARGET_GENES	1208	Genes containing one or more binding sites for UniProt:P15918 (RAG1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	25	0.0207	1.83E-9	5.79E-8
MYOCD_TARGET_GENES	1560	Genes containing one or more binding sites for UniProt:Q8IZQ8 (MYOCD) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	28	0.0179	4.16E-9	1.23E-7
HOXA1_TARGET_GENES	1227	Genes containing one or more binding sites for UniProt:P49639 (HOXA1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	24	0.0196	1.17E-8	3.27E-7
ZNF711_TARGET_GENES	1762	Genes containing one or more binding sites for UniProt:Q9Y462 (ZNF711) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	29	0.0165	1.45E-8	3.71E-7
NCOA2_TARGET_GENES	541	Genes containing one or more binding sites for UniProt:Q15596 (NCOA2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.	16	0.0296	1.47E-8	3.71E-7


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES	ASH1L_TARGET_GENES	ATF6_TARGET_GENES	AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES	IRF5_TARGET_GENES	SETD1A_TARGET_GENES	ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES	KLF7_TARGET_GENES	ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES	RYBP_TARGET_GENES	RAG1_TARGET_GENES	MYOCD_TARGET_GENES	HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	NCOA2_TARGET_GENES
3837	KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES	ASH1L_TARGET_GENES		AEBP2_TARGET_GENES						KLF7_TARGET_GENES	ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES						
10237	SLC35B1	solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES		ATF6_TARGET_GENES			IRF5_TARGET_GENES	SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES				RYBP_TARGET_GENES					NCOA2_TARGET_GENES
126298	IRGQ	immunity related GTPase Q [Source:HGNC Symbol;Acc:HGNC:24868]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES			AEBP2_TARGET_GENES		IRF5_TARGET_GENES		ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES		ZNF549_TARGET_GENES		RYBP_TARGET_GENES			HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
79177	ZNF576	zinc finger protein 576 [Source:HGNC Symbol;Acc:HGNC:28357]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES			AEBP2_TARGET_GENES		IRF5_TARGET_GENES		ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES		ZNF549_TARGET_GENES		RYBP_TARGET_GENES			HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
100170229	SRRM5	serine/arginine repetitive matrix 5 [Source:HGNC Symbol;Acc:HGNC:37248]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES			AEBP2_TARGET_GENES		IRF5_TARGET_GENES		ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES		ZNF549_TARGET_GENES					HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
58509	CACTIN	cactin, spliceosome C complex subunit [Source:HGNC Symbol;Acc:HGNC:29938]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES				NFE2L1_TARGET_GENES	IRF5_TARGET_GENES	SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES	KLF7_TARGET_GENES	ZNF549_TARGET_GENES					HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
93627	TBCK	TBC1 domain containing kinase [Source:HGNC Symbol;Acc:HGNC:28261]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES				NFE2L1_TARGET_GENES	IRF5_TARGET_GENES		ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES					RAG1_TARGET_GENES		HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
9255	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES				NFE2L1_TARGET_GENES	IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES					RAG1_TARGET_GENES		HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
6433	SFSWAP	splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES	BARHL1_TARGET_GENES						SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES	KLF7_TARGET_GENES		CEBPZ_TARGET_GENES	RYBP_TARGET_GENES			HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	
3021	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES		ASH1L_TARGET_GENES	ATF6_TARGET_GENES		NFE2L1_TARGET_GENES						ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES		RAG1_TARGET_GENES			ZNF711_TARGET_GENES	
55588	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES		ASH1L_TARGET_GENES				IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES			CEBPZ_TARGET_GENES			MYOCD_TARGET_GENES			NCOA2_TARGET_GENES
